詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
 380. 韓溉: 8 首,,,,,,,,,,
 381. 伊用昌: 8 首,male,,,,,,poet詩人,,,
 382. 李治: 7 首,male,,628-683,,,唐朝--關內道--京兆--長安(Chang'an),"skilled at writing工於文,emperor[皇帝]",643-649,,
 383. 李顯: 7 首,male,,656-710,,,	唐朝--關內道--京兆--長安(Chang'an),emperor[皇帝],680-705,,
 384. 李忱: 7 首,male,,810-859,,,唐朝--關內道--京兆--長安(Chang'an),"skilled at writing工於文,emperor[皇帝]",821-846,,
 385. 上官昭容: 7 首,female,,664-710,,,唐朝--河南道--陝州--陜縣(Shan Xian),poet詩人,684-?,,
 386. 姚崇: 7 首,male,,651-721,,,唐朝--河北道--河南--洛陽(Luoyang),"poet詩人,skilled at writing工於文,office: chief councilor[宰相]",684-781?,,
 387. 鄭絪: 7 首,male,,752-829,,,唐朝--河北道--鄭州--榮陽(Rongyang),"calligrapher書法家,poet詩人",779-822,,
 388. 張袞: 7 首,,,,,,,,,,
 389. 王無競: 7 首,male,,652-705,,,	唐朝--河南道--萊州(Lai Zhou),poet詩人,705?-?,,
 390. 王適: 7 首,male,,,,,	唐朝--河北道--幽州(You Zhou),skilled at writing工於文,,,
 391. 厲玄: 7 首,male,,,,,	唐朝--江南道--婺州--東陽(Dongyang),"poet詩人, civil office[為官者：文]",840-852,,
 392. 薛奇童: 7 首,male,,,,,	唐朝--河東道--蒲州--河東(Hedong),poet詩人,742-759,,
 393. 吳少微: 7 首,male,,?-706,,,唐朝--河北道--河南--新安(Xin'an),skilled at writing工於文,703-?,,
 394. 王諲: 7 首,male,,,,,,"poet詩人,skilled at writing工於文",742-?,,
 395. 張潮: 7 首,,,,,,,,,,
 396. 崔液: 7 首,male,,?-713,,,	唐朝--河北道--定州--安喜(Anxi),"poet詩人, civil office[為官者：文]",,,
 397. 劉孝孫: 7 首,male,,?-642,,,	遼朝--東京道--荊州(Jing Zhou),"poet詩人,skilled at writing工於文",617-641,,
 398. 孔紹安: 7 首,male,,,,,唐朝--江南道--越州--山陰(Shanyin),poet詩人,617-622,,
 399. 宗楚客: 7 首,male,,?-710,,,	唐朝--河東道--蒲州--河東(Hedong),poet詩人,705-709,,
 400. 于季子: 7 首,male,,,,,唐朝--河南道--齊州--歷城(Licheng),poet詩人,,,
 401. 盧藏用: 7 首,male,,?-713,,,唐朝--河北道--幽州--范陽(Fanyang),"calligrapher書法家,poet詩人,skilled at writing工於文,civil office[為官者：文]",703-709,,
 402. 包融: 7 首,male,,,,,唐朝--江南道--潤州--延陵(Yanling),"poet詩人,man of culture文人,skilled at writing工於文",727-727,,
 403. 賀朝: 7 首,male,,,,,唐朝--江南道--越州(Yue Zhou),poet詩人,,,
 404. 蔣冽: 7 首,male,,,,,	唐朝--江南道--常州--義興(Yixing),"poet詩人, civil office[為官者：文]",,,
 405. 朱長文: 7 首,male,,1039-1098,,,宋朝--兩浙西路--蘇州--吳縣(Wu Xian),literati士人,,,
 406. 于良史: 7 首,male,,,,,,"poet詩人,man of culture文人",756-773,,
 407. 麹信陵: 7 首,male,,?-794,,,唐朝--江南道--蘇州(Su Zhou),poet詩人,790-?,,
 408. 白行簡: 7 首,male,,776-826,,,	唐朝--河東道--太原--太谷(Taigu),"poet詩人,skilled at writing工於文,civil office[為官者：文]",813-825,,
 409. 霍總: 7 首,male,,,,,,poet詩人,,,
 410. 顧雲: 7 首,male,,?-894,,,	唐朝--江南道--池州--秋浦(Qiupu),poet詩人,891-?,,
 411. 劉象: 7 首,male,,832-?,,,	唐朝--關內道--京兆(Jingzhao),"poet詩人,man of culture文人",,,
 412. 孟賓於: 7 首,,,,,,,,,,
 413. 徐仲雅: 7 首,male,,922-?,,,唐朝--江南道--潭州--長沙(Changsha),,,,
 414. 廖融: 7 首,,,?-986,,,宋朝--荊湖南路--潭州--衡山(Hengshan),"gentleman without office處士,poet詩人",,,
 415. 史鳳: 7 首,male,,,,,,poet詩人,,,
 416. 薛昭蘊: 7 首,male,,,,,,poet詩人,,,
 417. 魏承班: 7 首,male,,881-?,,,唐朝--河南道--許州(Xu Zhou),,,,
 418. 李昂1: 6 首,,,,,,,,,,
 419. 徐賢妃: 6 首,female,,627-650,,,"唐朝--關內道--同州--馮翊(Fengyi),唐朝--江南道--湖州--長城(Changcheng)","skilled at writing工於文,imperial consort[后妃]",,,
 420. 李衍: 6 首,,,,,,,,,,
 421. 賈曾: 6 首,male,,?-727,,,唐朝--河北道--河南--洛陽(Luoyang),"skilled at writing工於文,civil office[為官者：文]",709-717,,
 422. 鄭世翼: 6 首,male,,,,,唐朝--河北道--鄭州--榮陽(Rongyang),poet詩人,622-622,,
 423. 張循之: 6 首,male,,?-697,,,	唐朝--河北道--河南--洛陽(Luoyang),poet詩人,,,
 424. 郎大家宋氏: 6 首,female,,,,,,poet詩人,,,
 425. 李康成: 6 首,male,,,,,,poet詩人,,,
 426. 張彪: 6 首,male,,,,,,"calligrapher書法家,poet詩人,man of culture文人",,,
 427. 任希古: 6 首,male,,,,,	唐朝--河北道--棣州(Di Zhou),poet詩人,,,
 428. 宋璟: 6 首,male,,663-737,,,唐朝--河北道--邢州--南和(Nanhe),"poet詩人,skilled at writing工於文,office: chief councilor[宰相]",684-837?,,
 429. 韋嗣立: 6 首,male,,654-719,,,"唐朝--河北道--鄭州--陽武(Yangwu),	唐朝--嶺南道--恩州--杜陵(Duling)","poet詩人,skilled at writing工於文,office: chief councilor[宰相]",684-713,,
 430. 岑羲: 6 首,male,,?-712,,,"唐朝--江南道--杭州--鹽官(Yanguan),	唐朝--山南道--江陵(Jiangling)","poet詩人,office: chief councilor[宰相]",703-862,,
 431. 劉灣: 6 首,male,,,,,	蜀(Shu),poet詩人,765-782,,
 432. 沈頌: 6 首,male,,,,,	唐朝--江南道--湖州(Hu Zhou),poet詩人,742-?,,
 433. 閻防: 6 首,male,,,,,	唐朝--河東道--河中府(Hezhong Fu),"poet詩人,man of culture文人",,,
 434. 嚴武: 6 首,male,,726-765,,,唐朝--關內道--華州--華陰(Huayin),poet詩人,747-764,,
 435. 章八元: 6 首,male,,,,,唐朝--江南道--睦州--桐廬(Tonglu),"poet詩人,man of culture文人",795-?,,
 436. 陳翊: 6 首,male,,,,,唐朝--江南道--福州--閩縣(Min Xian),,814-?,,
 437. 陳存: 6 首,male,,?-812,,,,poet詩人,,,
 438. 崔元翰: 6 首,male,,?-795,,,,poet詩人,,,
 439. 崔護: 6 首,male,,,,,,poet詩人,820-823,,
 440. 李翱: 6 首,male,,,,,	唐朝--隴右道--秦州--成紀(Chengji),"calligrapher書法家,poet詩人,civil office[為官者：文]",,,
 441. 舒元輿: 6 首,male,,789-835,,,	唐朝--江南道--婺州--東陽(Dongyang),,821-835,,
 442. 胡皓: 6 首,male,,,,,	唐朝--河北道--河南--洛陽(Luoyang),"poet詩人, civil office[為官者：文]",715-715,,
 443. 林滋: 6 首,male,,,,, 唐朝--江南道--福州--閩縣(Min Xian),"poet詩人,skilled at writing工於文",,,
 444. 李宣古: 6 首,male,,,,,	唐朝--山南道--澧州(Li Zhou),"poet詩人,man of culture文人",,,
 445. 李沇: 6 首,male,,?-895,,,	唐朝--江南道--鄂州--江夏(Jiangxia),poet詩人,,,
 446. 王駕: 6 首,male,,,,,唐朝--河東道--河中府(Hezhong Fu),"poet詩人,man of culture文人",,,
 447. 鄭准: 6 首,male,,,,,"明朝--福建布政司--興化府--莆田(Putian),唐朝--江南道--泉州--莆田(Putian)",skilled at writing工於文,,,
 448. 錢珝: 6 首,male,,,,,唐朝--江南道--湖州(Hu Zhou),"poet詩人,man of culture文人",895-900,,
 449. 王岩: 6 首,,,,,,,,,,
 450. 牛希濟: 6 首,male,,872-?,,,唐朝--關內道--涇州--鶉觚(Chungu),"poet詩人,skilled at writing工於文",,,
 451. 詹敦仁: 6 首,male,,,,,唐朝--河南道--光州--固始(Gushi),"poet詩人,skilled at writing工於文",,,
 452. 王元: 6 首,male,,1029-1097,,,"宋朝--開封府--開封(Kaifeng),魏州--莘縣(Shen Xian)",civil office[為官者：文],,,
 453. 張夫人: 6 首,female,,,,,,"poet詩人,man of culture文人",,,
 454. 張窈窕: 6 首,male,,,,,,"poet詩人,man of culture文人",,,
 455. 義淨: 6 首,male,,,,,"唐朝--河南道--齊州(Qi Zhou),唐朝--河北道--涿州--范陽(Fanyang)",skilled at writing工於文,635-713,,
 456. 歸仁: 6 首,,,,,,,,,,
 457. 慕幽: 6 首,male,,,,,,poet詩人,,,
 458. 許堅2: 6 首,male,,647-679,,,唐朝--山南道--鄧州--新城(Xincheng),poet詩人,,,
 459. 蜀宮群仙: 6 首,,,,,,,,,,
 460. 李貞白: 6 首,male,,,,,唐朝--江南道(Jiangnan Dao),poet詩人,,,
 461. 閻選: 6 首,male,,,,,,poet詩人,,,
 462. 牛僧孺: 5 首,male,,780-848,,,"唐朝--關內道--涇州--靈臺(Lingtai),	唐朝--關內道--涇州--鶉觚(Chungu)","poet詩人,skilled at writing工於文,office: chief councilor[宰相]",711?-846,,
 463. 李舒: 5 首,,,,,,,,,,
 464. 郭元振: 5 首,male,,,,,唐朝--河北道--魏州--貴鄉(Guixiang),"poet詩人,office: chief councilor[宰相]",,,
 465. 袁朗: 5 首,male,,,,,	唐朝--關內道--京兆--長安(Chang'an),poet詩人,?-618,,
 466. 李暇: 5 首,male,,,,,,poet詩人,,,
 467. 張柬之: 5 首,male,,625-706,,,唐朝--山南道--襄州--襄陽(Xiangyang),"poet詩人,office: chief councilor[宰相]",684-706,,
 468. 李嶷: 5 首,male,,,,,唐朝--河北道--趙州(Zhao Zhou),poet詩人,,,
 469. 田娥: 5 首,female,,,,,,poet詩人,,,
 470. 陸長源: 5 首,male,,?-820,,,唐朝--江南道--蘇州--吳縣(Wu Xian),skilled at writing工於文,629-799,,
 471. 庾抱: 5 首,male,,,,,唐朝--江南道--潤州--江寧(Jiangning),poet詩人,591-618,,
 472. 徐晶: 5 首,male,,,,,,poet詩人,,,
 473. 張易之: 5 首,male,,?-705,,,唐朝--河北道--定州--義豐(Yifeng),"poet詩人, civil office[為官者：文]",699-701,,
 474. 李泌: 5 首,male,,722-789,,,唐朝--關內道--京兆--長安(Chang'an),"calligrapher書法家,poet詩人,skilled at writing工於文,office: chief councilor[宰相]",749-787,,
 475. 許景先: 5 首,male,,,,,唐朝--江南道--常州--義興(Yixing),"poet詩人,skilled at writing工於文",718-730,,
 476. 蔡希寂: 5 首,male,,,,,唐朝--江南道--潤州--丹陽(Danyang),"calligrapher書法家,poet詩人",749-749,,
 477. 殷遙: 5 首,male,,,,,	唐朝--江南道--潤州--句容(Jurong),,727-?,,
 478. 王泠然: 5 首,male,,692-725,,,唐朝--河東道--太原--太原(Taiyuan),skilled at writing工於文,,,
 479. 張旭: 5 首,male,,,,,唐朝--江南道--蘇州--吳縣(Wu Xian),"calligrapher書法家,poet詩人",,,
 480. 崔興宗: 5 首,male,,,,,唐朝--河北道--深州--安平(Anping),"poet詩人,man of culture文人,civil office[為官者：文]",,,
 481. 徐九皋: 5 首,male,,,,,,poet詩人,,,
 482. 閻寬: 5 首,male,,1404-?,,,明朝--山東巡撫--山東布政司--青州府--樂安(Le'an),,,,
 483. 王之渙: 5 首,male,,688-742,,,唐朝--河東道--絳州(Jiang Zhou),poet詩人,,,
 484. 呂渭: 5 首,male,,735-800,,,	唐朝--河東道--河中府(Hezhong Fu),poet詩人,772-797,,
 485. 張志和: 5 首,male,,,,,唐朝--江南道--婺州--金華(Jinhua),,,,
 486. 崔備: 5 首,,,,,,,,,,
 487. 徐敞: 5 首,male,,,,,,poet詩人,,,
 488. 張聿: 5 首,male,,,,,唐朝--河南道--沂州(Yi Zhou),poet詩人,804-826,,
 489. 李正封: 5 首,male,,,,,,poet詩人,817-817,,
 490. 鄭澣: 5 首,male,,776-839,,,"唐朝--河北道--鄭州--榮澤(Rongze),唐朝--河北道--鄭州--榮陽(Rongyang)","poet詩人, civil office[為官者：文]",806-837,,
 491. 李程: 5 首,male,,766-843,,,唐朝--隴右道--渭州--隴西(Longxi),"poet詩人,skilled at writing工於文",803-841,,
 492. 王起: 5 首,male,,760-847,,,,skilled at writing工於文,808-844,,
 493. 楊嗣複: 5 首,,,,,,,,,,
 494. 沈傳師: 5 首,male,,777-835,,,"唐朝--江南道--湖州--武康(Wukang),唐朝--江南道--蘇州--吳縣(Wu Xian)","calligrapher書法家,poet詩人,civil office[為官者：文]",817-826,,
 495. 周匡物: 5 首,male,,,,,唐朝--江南道--漳州--龍溪(Longxi),poet詩人,,,
 496. 袁不約: 5 首,male,,,,,唐朝--江南道--杭州--新城(Xincheng),"poet詩人,man of culture文人,skilled at writing工於文",837-837,,
 497. 楊乘: 5 首,male,,,,,	唐朝--關內道--同州--馮翊(Fengyi),poet詩人,,,
 498. 張均: 5 首,male,,,,,唐朝--河北道--河南--洛陽(Luoyang),"poet詩人,man of culture文人,skilled at writing工於文,civil office[為官者：文]",725-754,,
 499. 于邵: 5 首,male,,718-798,,,"唐朝--關內道--京兆--長安(Chang'an),	唐朝--關內道--京兆--萬年(Wannian)","poet詩人,skilled at writing工於文,civil office[為官者：文]",779-792,,
 500. 趙璜: 5 首,male,,804-862,,,,poet詩人,859-?,,
 501. 潘鹹: 5 首,,,,,,,,,,
 502. 鄭綮: 5 首,male,,?-899,,,,poet詩人,875-896,,
 503. 歐陽玭: 5 首,male,,,,,唐朝--江南道--福州--閩縣(Min Xian),"poet詩人,skilled at writing工於文",,,
 504. 公乘億: 5 首,male,,,,,唐朝--河北道--魏州--魏縣(Wei Xian),"poet詩人,man of culture文人,skilled at writing工於文",877-896,,
 505. 韓熙載: 5 首,male,,902-970,,,唐朝--河南道--青州--北海(Beihai),skilled at writing工於文,?-960,,
 506. 潘佑: 5 首,male,,?-973,,,唐朝--河北道--幽州(You Zhou),"historian史學家,skilled at writing工於文",960-969,,
 507. 鄭損: 5 首,male,,,,,	唐朝--河北道--鄭州--榮陽(Rongyang),poet詩人,887-?,,
 508. 盧汝弼: 5 首,male,,,,,	唐朝--河東道--蒲州(Pu Zhou),"calligrapher書法家,poet詩人,man of culture文人",,,
 509. 楊凝式: 5 首,male,,873-?,,,"唐朝--河北道--河南--洛陽(Luoyang),唐朝--關內道--華州(Hua Zhou),唐朝--關內道--同州--馮翊(Fengyi)","calligrapher書法家,poet詩人,skilled at writing工於文,civil office[為官者：文]",,,
 510. 黃損: 5 首,male,,,,,唐朝--江南道--連州(Lian Zhou),poet詩人,864-?,,
 511. 馮道: 5 首,male,,,,,	唐朝--河北道--河南--洛陽(Luoyang),"poet詩人,skilled at writing工於文",748-751,,
 512. 廖匡圖: 5 首,male,,,,,唐朝--江南道--虔州--虔化(Qianhua),poet詩人,,,
 513. 許堅1: 5 首,,,,,,,,,,
 514. 湯悅: 5 首,male,,,,,"	唐朝--江南道--池州--秋浦(Qiupu),唐朝--江南道--池州--青陽(Qingyang),宋朝--京西北路--陳州--西華(Xihua)",	office: chief councilor[宰相],968-969,,
 515. 吳越人: 5 首,,,,,,,,,,
 516. 晁采: 5 首,female,,,,,,poet詩人,,,
 517. 姚月華: 5 首,female,,,,,,"poet詩人,man of culture文人",,,
 518. 梁瓊: 5 首,female,,,,,,"poet詩人,man of culture文人",,,
 519. 趙鸞鸞: 5 首,female,,,,,唐朝--河南道--鄆州--東平(Dongping),"poet詩人,skilled at writing工於文",,,
 520. 慧淨: 5 首,male,,?-645,,,	唐朝--河北道--恆州--真定(Zhending),skilled at writing工於文,,,
 521. 隱巒: 5 首,male,,,,,,poet詩人,,,
 522. 可朋: 5 首,male,,?-907,,,唐朝--劍南道--眉州--丹稜(Danleng),poet詩人,,,
 523. 雲台峰女仙: 5 首,,female,,,,,,,,
 524. 陳季卿: 5 首,male,,,,,唐朝--江南道(Jiangnan Dao),poet詩人,,,
 525. 權龍褒: 5 首,male,,,,,,poet詩人,696-709,,
 526. 文丙: 5 首,male,,,,,,poet詩人,,,
 527. 李璟: 4 首,male,,,,,	唐朝--關內道--京兆--長安(Chang'an),"calligrapher書法家,poet詩人,civil office[為官者：文]",,,
 528. 段文昌: 4 首,male,,,,,"	唐朝--河北道--河南--洛陽(Luoyang),唐朝--河東道--汾州--西河(Xihe)","poet詩人, office: chief councilor[宰相]",799-834,,
 529. 李回: 4 首,,,,,,,,,,
 530. 員半千: 4 首,male,,628-714,,,"唐朝--河東道--晉州--臨汾(Linfen),唐朝--河南道--齊州--全節(Quanjie)","poet詩人, civil office[為官者：文]",684-818?,,
 531. 許孟容: 4 首,male,,743-818,,,唐朝--關內道--京兆--長安(Chang'an),"poet詩人,skilled at writing工於文",780-812,,
 532. 崔邠: 4 首,male,,754-815,,,唐朝--河北道--貝州--清河(Qinghe),"poet詩人, civil office[為官者：文]",802-810,,
 533. 王偃: 4 首,male,,,,,,poet詩人,,,
 534. 辛弘智: 4 首,male,,,,,,poet詩人,,,
 535. 張紘: 4 首,male,,,,,,poet詩人,,,
 536. 岑文本: 4 首,male,,595-645,,,"	唐朝--江南道--杭州--鹽官(Yanguan),唐朝--山南道--隨州--棗陽(Zaoyang)","calligrapher書法家,poet詩人,civil office[為官者：文],office: chief councilor[宰相]",622-627,,
 537. 陸敬: 4 首,male,,,,,唐朝--河北道--鄭州--管城(Guancheng),poet詩人,638-?,,
 538. 楊浚: 4 首,male,,,,,,"poet詩人,skilled at writing工於文",,,
 539. 劉禕之: 4 首,male,,631-687,,,唐朝--江南道--常州--晉陵(Jinling),poet詩人,675-687,,
 540. 劉允濟: 4 首,male,,,,,唐朝--河北道--河南--鞏州(Gong Zhou),skilled at writing工於文,684-792,,
 541. 崔泰之: 4 首,male,,667-723,,,"	唐朝--河南道--許州(Xu Zhou),唐朝--河東道--蒲州--河東(Hedong),	唐朝--河北道--貝州--東武城(Dong Wucheng)",poet詩人,705-712,,
 542. 魏知古: 4 首,male,,647-715,,,唐朝--河北道--深州--陸澤(Luze),"poet詩人, office: chief councilor[宰相]",684-804?,,
 543. 王琚: 4 首,male,,685-746,,,懷州--河內(Henei),"poet詩人,skilled at writing工於文",709-742,,
 544. 李迥秀: 4 首,male,,?-712,,,唐朝--關內道--京兆--涇陽(Jingyang),skilled at writing工於文,684-712,,
 545. 趙彥伯: 4 首,male,,,,,臨安府(Lin'an Fu),,,,
 546. 劉庭琦: 4 首,male,,,,,唐朝--河南道--徐州--符離(Fuli),skilled at writing工於文,713-741,,
 547. 張嘉貞: 4 首,male,,,,,	唐朝--河東道--蒲州--猗氏(Yishi),"poet詩人,skilled at writing工於文, office: chief councilor[宰相]",,,
 548. 席豫: 4 首,male,,680-748,,,唐朝--河北道--河南--河南(He'nan),"poet詩人, civil office[為官者：文]",732-742,,
 549. 沈如筠: 4 首,male,,,,,	唐朝--江南道--潤州--句容(Jurong),poet詩人,,,
 550. 李邕: 4 首,male,,678-747,,,"唐朝--淮南道--揚州--江都(Jiangdu),唐朝--江南道--鄂州--江夏(Jiangxia)","calligrapher書法家,poet詩人,skilled at writing工於文,civil office[為官者：文]",701-742,,
 551. 萬齊融: 4 首,male,,,,,	唐朝--江南道--越州(Yue Zhou),"poet詩人,skilled at writing工於文",,,
 552. 蔣維翰: 4 首,male,,,,,,poet詩人,,,
 553. 孫昌胤: 4 首,male,,,,,,poet詩人,785-790,,
 554. 張鼎: 4 首,,,,,,,,,,
 555. 馮著: 4 首,male,,,,,唐朝--河北道--瀛州--河間(Hejian),poet詩人,782-795,,
 556. 蔣渙: 4 首,male,,,,,唐朝--江南道--常州--義興(Yixing),"poet詩人, civil office[為官者：文]",756-779,,
 557. 沈千運: 4 首,male,,?-757,,,	唐朝--江南道--湖州(Hu Zhou),"calligrapher書法家,poet詩人,man of culture文人",,,
 558. 元季川: 4 首,male,,,,,,poet詩人,,,
 559. 王烈: 4 首,,,,,,,,,,
 560. 奚賈: 4 首,male,,,,,唐朝--江南道--睦州(Mu Zhou),poet詩人,,,
 561. 謝良輔: 4 首,male,,?-783,,,,"poet詩人,skilled at writing工於文",,,
 562. 皇甫澈: 4 首,male,,,,,唐朝--河北道--滄州(Cang Zhou),poet詩人,798-?,,
 563. 李觀: 4 首,,,,,,,,,,
 564. 李絳: 4 首,male,,764-830,,,唐朝--河北道--趙州--贊皇(Zanhuang),"poet詩人,skilled at writing工於文, office: chief councilor[宰相]",805-827,,
 565. 姚康: 4 首,male,,,,,唐朝--江南道--湖州--武康(Wukang),poet詩人,821-826,,
 566. 馬異: 4 首,male,,,,,"唐朝--河北道--河南--河南(He'nan),	唐朝--江南道--睦州(Mu Zhou)","poet詩人,man of culture文人",,,
 567. 裴次元: 4 首,male,,?-820,,,,,805-815,,
 568. 王魯複: 4 首,,,,,,,,,,
 569. 李渤: 4 首,male,,773-831,,,,poet詩人,697?-831,,
 570. 何希堯: 4 首,male,,,,,唐朝--江南道--睦州--分水(Fenshui),poet詩人,,,
 571. 柳棠: 4 首,male,,,,,,poet詩人,,,
 572. 韓仲宣: 4 首,male,,,,,,poet詩人,,,
 573. 高瑾: 4 首,male,,,,,唐朝--河北道--德州--蓨縣(Xiu Xian),poet詩人,,,
 574. 裴漼: 4 首,male,,666-736,,,"唐朝--河北道--河南--洛陽(Luoyang),唐朝--河東道--絳州--聞喜(Wenxi)","poet詩人,skilled at writing工於文,civil office[為官者：文]",717-723,,
 575. 韋述: 4 首,male,,?-757,,,"唐朝--關內道--京兆--長安(Chang'an),唐朝--關內道--京兆--萬年(Wannian)","poet詩人,man of culture文人,skilled at writing工於文,civil office[為官者：文]",717-759,,
 576. 祝元膺: 4 首,male,,,,,"唐朝--河南道--兗州(Yan Zhou),唐朝--江南道--潤州--句容(Jurong)",poet詩人,,,
 577. 王鐸: 4 首,male,,?-884,,,,,683-884,,
 578. 李玖: 4 首,male,,,,,,poet詩人,,,
 579. 莫宣卿: 4 首,male,,,,,唐朝--嶺南道--封州(Feng Zhou),poet詩人,,,
 580. 鄭愚: 4 首,male,,,,,唐朝--嶺南道--廣州(Guang Zhou),poet詩人,791-868,,
 581. 袁郊: 4 首,male,,,,,唐朝--河南道--豫州--朗山(Langshan),poet詩人,867-?,,
 582. 蕭遘: 4 首,male,,,,,	唐朝--關內道--京兆--長安(Chang'an),"calligrapher書法家,poet詩人,office: chief councilor[宰相]",872-886,,
 583. 袁皓: 4 首,male,,,,,	唐朝--江南道--袁州--宜春(Yichun),"poet詩人,skilled at writing工於文",881-889,,
 584. 鄭仁表: 4 首,male,,,,,唐朝--河北道--鄭州--榮陽(Rongyang),skilled at writing工於文,,,
 585. 姚揆: 4 首,male,,,,,,poet詩人,,,
 586. 鄭璧: 4 首,male,,,,,,poet詩人,,,
 587. 溫憲: 4 首,male,,842-?,,,唐朝--河東道--太原--祁縣(Qi Xian),,,,
 588. 孫棨: 4 首,male,,,,,	唐朝--河北道--博州--武水(Wushui),poet詩人,896-?,,
 589. 張為: 4 首,male,,,,,唐朝--江南道--福州--閩縣(Min Xian),"poet詩人,man of culture文人",,,
 590. 劉斌: 4 首,male,,,,,,poet詩人,,,
 591. 廖凝: 4 首,male,,,,,唐朝--江南道--虔州--虔化(Qianhua),poet詩人,,,
 592. 徐鍇: 4 首,male,,,,,"唐朝--江南道--洪州--豫章(Yuzhang),宋朝--淮南東路--揚州--廣陵(Guangling)","skilled at writing工於文,civil office[為官者：文]",?-960,,
 593. 李家明: 4 首,male,,,,,唐朝--劍南道--綿州--西昌(Xichang),poet詩人,969-?,,
 594. 翁宏: 4 首,male,,,,,	唐朝--嶺南道--桂州--桂州(Guizhou),poet詩人,,,
 595. 劉乙: 4 首,male,,,,,	唐朝--江南道--泉州(Quan Zhou),poet詩人,,,
 596. 胡玢: 4 首,male,,,,,,poet詩人,,,
 597. 狄煥: 4 首,,,,,,,,,,
 598. 楊希道: 4 首,male,,,,,,poet詩人,,,
 599. 鄭鏦: 4 首,male,,,,,,poet詩人,,,
 600. 紇幹著: 4 首,,,,,,,,,,
 601. 周濆: 4 首,male,,,,,,poet詩人,,,
 602. 馬逢: 4 首,male,,,,,,,804-811,,
 603. 易思: 4 首,male,,,,,	唐朝--江南道--袁州(Yuan Zhou),poet詩人,,,
 604. 賈彥璋: 4 首,male,,,,,唐朝--河南道--陝州(Shan Zhou),poet詩人,,,
 605. 韓常侍: 4 首,male,,,,,,poet詩人,853-?,,
 606. 趙氏2: 4 首,,,,,,,,,,
 607. 薛馧: 4 首,male,,,,,唐朝--河東道--蒲州--寶鼎(Baoding),"poet詩人,man of culture文人",,,
 608. 張文姬: 4 首,female,,,,,,poet詩人,,,
 609. 步非煙: 4 首,female,,,,,,poet詩人,,,
 610. 孟氏: 4 首,female,,,,,,poet詩人,,,
 611. 崔萱: 4 首,male,,,,,,"poet詩人,man of culture文人",,,
 612. 崔仲容: 4 首,female,,,,,,"poet詩人,man of culture文人",,,
 613. 善生: 4 首,male,,,,,,poet詩人,,,
 614. 卿雲: 4 首,,,,,,,,,,
 615. 張辭: 4 首,male,,,,,,poet詩人,,,
 616. 沈廷瑞: 4 首,male,,?-985,,,宋朝--江南西路--筠州--高安(Gaoan),"Daoist priest道士,poet詩人,practioner of Daoist magics習於道術",,,
 617. 卓英英: 4 首,female,,,,,	唐朝--劍南道--成都--成都(Chengdu),poet詩人,,,
 618. 張元一: 4 首,,,,,,,,,,
 619. 李存勖: 4 首,male,,885-?,,,唐朝--吐蕃諸部(Tufan Tribes),skilled at writing工於文,898-898,,
 620. 鹿虔扆: 4 首,male,,,,,,poet詩人,808-903,,
 621. 鮑君徽: 3 首,female,,,,,,"poet詩人,man of culture文人",,,
 622. 錢鏐: 3 首,male,,852-?,,,唐朝--江南道--杭州--錢塘(Qiantang),"calligrapher書法家,painter畫家, poet詩人,skilled at writing工於文,ruler統治者",880-907,,
 623. 盧從願: 3 首,,,,,,,,,,
 624. 韓休: 3 首,male,,672-739,,,唐朝--關內道--京兆--長安(Chang'an),"poet詩人,office: chief councilor[宰相]",724-736,,
 625. 蔡孚: 3 首,male,,,,,,poet詩人,713-720,,
 626. 盧懷慎: 3 首,male,,?-716,,,	唐朝--河南道--滑州--靈昌(Lingchang),skilled at writing工於文,706-716,,
 627. 劉晏: 3 首,male,,716-780,,,唐朝--關內道--京兆--長安(Chang'an),"poet詩人,skilled at writing工於文,office: finance[財政官員],office:state council[宰執]",749-780,,
 628. 郭子儀: 3 首,male,,697-781,,,唐朝--關內道--華州(Hua Zhou),skilled at writing工於文,754-779,,
 629. 鄭餘慶: 3 首,male,,746-820,,,"唐朝--河北道--鄭州--榮澤(Rongze),唐朝--河北道--鄭州--榮陽(Rongyang)","calligrapher書法家,poet詩人,skilled at writing工於文,office: chief councilor[宰相]",683-819,,
 630. 蕭仿: 3 首,,,,,,,,,,
 631. 馮伉: 3 首,male,,704-809,,,唐朝--關內道--京兆--興平(Xingping),"poet詩人,skilled at writing工於文,civil office[為官者：文]",794-805,,
 632. 東方虯: 3 首,,,,,,,,,,
 633. 朱光弼: 3 首,male,,,,,,poet詩人,,,
 634. 齊浣: 3 首,,,,,,,,,,
 635. 張若虛: 3 首,male,,,,,唐朝--淮南道--揚州(Yang Zhou),poet詩人,,,
 636. 李希仲: 3 首,male,,,,,唐朝--河北道--趙州(Zhao Zhou),poet詩人,742-?,,
 637. 賀蘭進明: 3 首,male,,,,,,"poet詩人,man of culture文人,skilled at writing工於文",749-759,,
 638. 常理: 3 首,male,,,,,,poet詩人,,,
 639. 盧貞: 3 首,male,,778-848,,,,skilled at writing工於文,826-847,,
 640. 長孫無忌: 3 首,male,,?-659,,,	唐朝--河北道--河南--洛陽(Luoyang),"skilled at writing工於文,office: chief councilor[宰相]",626-649,,
