作者,詩歌數量,總字符數,平均每首詩字符數,1gram詞彙數,2gram詞彙數,3gram詞彙數,4gram詞彙數
段文昌著,4,172,43.0,50,50,50,50
高瑾著,4,204,51.0,50,50,50,50
陸長源著,4,221,55.25,50,50,50,50
韓仲宣著,4,200,50.0,50,50,50,50
卿雲著,4,190,47.5,50,50,50,50
廖凝著,4,219,54.75,50,50,50,50
鄭仁表著,4,123,30.75,50,50,50,50
莫宣卿著,4,203,50.75,50,50,50,50
慧宣著,4,289,72.25,50,50,50,50
易思著,4,172,43.0,50,50,50,50
田娥著,4,136,34.0,50,50,50,50
馮著著,4,386,96.5,50,50,50,50
裴次元著,4,227,56.75,50,50,50,50
羅隱,4,148,37.0,50,50,50,50
張元一著,4,137,34.25,50,50,50,50
喬知之,4,587,146.75,50,50,50,50
魏知古著,4,278,69.5,50,50,50,50
崔泰之著,4,552,138.0,50,50,50,50
劉迥著,4,152,38.0,50,50,50,50
賈彥璋著,4,192,48.0,50,50,50,50
王績著,4,226,56.5,50,50,50,50
楊希道著,4,162,40.5,50,50,50,50
翁宏著,4,169,42.25,50,50,50,50
張蕭遠著,4,231,57.75,50,50,50,50
張易之著,4,238,59.5,50,50,50,50
王烈著,4,219,54.75,50,50,50,50
陸敬,4,294,73.5,50,50,50,50
馬逢著,4,196,49.0,50,50,50,50
李玖著,4,444,111.0,50,50,50,50
李邕著,4,272,68.0,50,50,50,50
李迥秀著,4,196,49.0,50,50,50,50
王魯複著,4,107,26.75,50,50,50,50
羅紹威著,4,167,41.75,50,50,50,50
袁皓著,4,384,96.0,50,50,50,50
柳公權著,4,156,39.0,50,50,50,50
劉庭琦著,4,272,68.0,50,50,50,50
趙氏2著,4,202,50.5,50,50,50,50
戎昱,4,328,82.0,50,50,50,50
張文姬著,4,92,23.0,50,50,50,50
卓英英著,4,138,34.5,50,50,50,50
蕭遘著,4,151,37.75,50,50,50,50
張嘉貞著,4,299,74.75,50,50,50,50
萬齊融著,4,324,81.0,50,50,50,50
薛馧著,4,178,44.5,50,50,50,50
席豫著,4,336,84.0,50,50,50,50
奚賈著,4,201,50.25,50,50,50,50
路德延著,4,695,173.75,50,50,50,50
李渤著,4,679,169.75,50,50,50,50
源幹曜著,4,320,80.0,50,50,50,50
宋齊丘著,4,507,126.75,50,50,50,50
劉斌著,4,298,74.5,50,50,50,50
李存勖著,4,269,67.25,50,50,50,50
紇幹著著,4,123,30.75,50,50,50,50
李吉甫著,4,252,63.0,50,50,50,50
胡玢著,4,165,41.25,50,50,50,50
沈廷瑞著,4,196,49.0,50,50,50,50
袁郊著,4,120,30.0,50,50,50,50
祝元膺著,4,106,26.5,50,50,50,50
沈如筠著,4,142,35.5,50,50,50,50
趙彥伯著,4,167,41.75,50,50,50,50
劉方平,4,176,44.0,50,50,50,50
韋述著,4,288,72.0,50,50,50,50
蘇頲,4,83,20.75,50,50,50,50
裴漼著,4,280,70.0,50,50,50,50
劉行敏著,3,118,39.33,50,50,50,50
畢耀著,3,171,57.0,50,50,50,50
張匯著,3,189,63.0,50,50,50,50
張敬忠著,3,78,26.0,50,50,50,50
李騭著,3,350,116.67,50,50,50,50
褚朝陽著,3,150,50.0,50,50,50,50
惟審著,3,158,52.67,50,50,50,50
捧劍僕著,3,103,34.33,50,50,50,50
張昌宗著,3,204,68.0,50,50,50,50
楊牢著,3,243,81.0,50,50,50,50
馬戴,3,96,32.0,50,50,50,50
鐘謨著,3,136,45.33,50,50,50,50
劉太真著,3,196,65.33,50,50,50,50
柳公綽著,3,132,44.0,50,50,50,50
張賈著,3,123,41.0,50,50,50,50
陳元光著,3,332,110.67,50,50,50,50
孫氏著,3,132,44.0,50,50,50,50
羅袞著,3,190,63.33,50,50,50,50
王表著,3,170,56.67,50,50,50,50
於鵠,3,428,142.67,50,50,50,50
竇參著,3,268,89.33,50,50,50,50
喬備著,3,138,46.0,50,50,50,50
張文規著,3,93,31.0,50,50,50,50
韋渠牟著,3,1040,346.67,50,50,50,50
紀唐夫著,3,174,58.0,50,50,50,50
鄭史著,3,148,49.33,50,50,50,50
裴諝著,3,278,92.67,50,50,50,50
範傳正著,3,216,72.0,50,50,50,50
陳通方著,3,264,88.0,50,50,50,50
張孜著,3,134,44.67,50,50,50,50
於濆,3,250,83.33,50,50,50,50
澹交著,3,134,44.67,50,50,50,50
寒山著,3,16116,5372.0,50,50,50,50
蘇廣文著,3,192,64.0,50,50,50,50
劉皂著,3,167,55.67,50,50,50,50
莊南傑,3,42,14.0,39,38,36,33
蔡京著,3,122,40.67,50,50,50,50
若虛著,3,186,62.0,50,50,50,50
李元紘著,3,164,54.67,50,50,50,50
顧在鎔著,3,160,53.33,50,50,50,50
韋夏卿著,3,166,55.33,50,50,50,50
潘孟陽著,3,168,56.0,50,50,50,50
許孟容著,3,148,49.33,50,50,50,50
張眾甫著,3,144,48.0,50,50,50,50
趙鴻著,3,93,31.0,50,50,50,50
錢鏐,3,128,42.67,50,50,50,50
盧頻著,3,90,30.0,50,50,50,50
王韞秀著,3,96,32.0,50,50,50,50
張薦著,3,136,45.33,50,50,50,50
崔知賢著,3,152,50.67,50,50,50,50
景雲著,3,120,40.0,50,50,50,50
元淳著,3,162,54.0,50,50,50,50
魏扶著,3,159,53.0,50,50,50,50
孫叔向著,3,96,32.0,50,50,50,50
丁澤著,3,213,71.0,50,50,50,50
韓滉著,3,128,42.67,50,50,50,50
林藻著,3,176,58.67,50,50,50,50
張立著,3,95,31.67,50,50,50,50
崔立之著,3,216,72.0,50,50,50,50
周瑀著,3,120,40.0,50,50,50,50
詹琲著,3,157,52.33,50,50,50,50
幹康著,3,91,30.33,50,50,50,50
鄭還古著,3,130,43.33,50,50,50,50
符載著,3,81,27.0,50,50,50,50
王丘著,3,270,90.0,50,50,50,50
黃頗著,3,200,66.67,50,50,50,50
徐昌圖著,3,194,64.67,50,50,50,50
韓休著,3,256,85.33,50,50,50,50
曇域著,3,158,52.67,50,50,50,50
朱晝著,3,206,68.67,50,50,50,50
趙征明著,3,189,63.0,50,50,50,50
西施著,3,102,34.0,50,50,50,50
任華著,3,1441,480.33,50,50,50,50
滕邁著,3,128,42.67,50,50,50,50
王軒著,3,103,34.33,50,50,50,50
陳嘉言著,3,144,48.0,50,50,50,50
黃巢著,3,104,34.67,50,50,50,50
眉娘著,3,106,35.33,50,50,50,50
關盼盼著,3,159,53.0,50,50,50,50
廉氏著,3,124,41.33,50,50,50,50
楊玢著,3,106,35.33,50,50,50,50
崔翹著,3,192,64.0,50,50,50,50
杜淹,3,200,66.67,50,50,50,50
崔子向著,3,120,40.0,50,50,50,50
伍唐珪著,3,136,45.33,50,50,50,50
鮑君徽,3,134,44.67,50,50,50,50
李昂2著,3,550,183.33,50,50,50,50
許宣平著,3,111,37.0,50,50,50,50
劉瑤著,3,157,52.33,50,50,50,50
宋之問,3,133,44.33,50,50,50,50
武瓘著,3,108,36.0,50,50,50,50
沈宇著,3,92,30.67,50,50,50,50
張仲方著,3,251,83.67,50,50,50,50
楊浚著,3,240,80.0,50,50,50,50
滕傳胤著,3,126,42.0,50,50,50,50
張萬頃著,3,142,47.33,50,50,50,50
崔玄亮著,3,106,35.33,50,50,50,50
鄭常著,3,144,48.0,50,50,50,50
劉猛著,3,121,40.33,50,50,50,50
盧拱著,3,131,43.67,50,50,50,50
上元夫人著,3,98,32.67,50,50,50,50
法照著,3,144,48.0,50,50,50,50
崔鶯鶯著,3,78,26.0,50,50,50,50
陳希烈著,3,192,64.0,50,50,50,50
趙光逢著,3,288,96.0,50,50,50,50
陳至著,3,153,51.0,50,50,50,50
宋昱著,3,285,95.0,50,50,50,50
辛弘智著,3,70,23.33,47,50,50,50
鄭良士著,3,176,58.67,50,50,50,50
張紘著,3,199,66.33,50,50,50,50
李回著,3,88,29.33,50,50,50,50
李暇著,3,173,57.67,50,50,50,50
平曾著,3,164,54.67,50,50,50,50
元晦著,3,326,108.67,50,50,50,50
白敏中著,3,163,54.33,50,50,50,50
周弘亮著,3,184,61.33,50,50,50,50
李林甫著,3,216,72.0,50,50,50,50
陸羽著,3,103,34.33,50,50,50,50
楊收著,3,67,22.33,50,50,50,50
郎大家宋氏,3,106,35.33,50,50,50,50
顏萱著,3,192,64.0,50,50,50,50
何兆著,3,81,27.0,50,50,50,50
李崇嗣著,3,66,22.0,50,50,50,50
李群玉,3,220,73.33,50,50,50,50
葉季良著,3,216,72.0,50,50,50,50
張白著,3,120,40.0,50,50,50,50
龍女著,3,95,31.67,50,50,50,50
李琪著,3,107,35.67,50,50,50,50
張琰著,3,139,46.33,50,50,50,50
楊敬之著,3,102,34.0,50,50,50,50
皇甫湜著,3,519,173.0,50,50,50,50
徐月英著,3,79,26.33,50,50,50,50
常楚老著,3,181,60.33,50,50,50,50
何光遠著,3,144,48.0,50,50,50,50
李百藥,3,128,42.67,50,50,50,50
王福娘著,3,102,34.0,50,50,50,50
李憕著,3,160,53.33,50,50,50,50
戴司顏著,3,101,33.67,50,50,50,50
王渙著,3,556,185.33,50,50,50,50
陳光著,3,144,48.0,50,50,50,50
知玄著,3,148,49.33,50,50,50,50
徐延壽著,3,209,69.67,50,50,50,50
劉媛著,3,126,42.0,50,50,50,50
員半千著,3,208,69.33,50,50,50,50
孫處玄著,3,67,22.33,50,50,50,50
劉綺莊著,3,140,46.67,50,50,50,50
李餘著,3,99,33.0,50,50,50,50
孫合著,3,179,59.67,50,50,50,50
李舜弦著,3,108,36.0,50,50,50,50
潘緯著,3,98,32.67,50,50,50,50
湛賁著,3,180,60.0,50,50,50,50
韋安石著,3,144,48.0,50,50,50,50
林傑著,3,81,27.0,50,50,50,50
馮涓著,3,141,47.0,50,50,50,50
尹懋著,3,180,60.0,50,50,50,50
劉雲著,3,112,37.33,50,50,50,50
韋璜著,3,126,42.0,50,50,50,50
李夢符著,3,154,51.33,50,50,50,50
元萬頃著,3,144,48.0,50,50,50,50
皇甫冉,3,120,40.0,50,50,50,50
陸海著,3,78,26.0,50,50,50,50
韋皋著,3,131,43.67,50,50,50,50
樓穎著,3,247,82.33,50,50,50,50
湘中蛟女著,3,150,50.0,50,50,50,50
王感化著,3,90,30.0,50,50,50,50
胡曾,3,42,14.0,39,39,36,33
李縠著,3,200,66.67,50,50,50,50
程長文著,3,332,110.67,50,50,50,50
胡幽貞著,2,47,23.5,43,44,43,41
張固著,2,98,49.0,50,50,50,50
盧注著,2,198,99.0,50,50,50,50
裴休著,2,110,55.0,50,50,50,50
許康佐著,2,144,72.0,50,50,50,50
王良士著,2,120,60.0,50,50,50,50
顏粲著,2,144,72.0,50,50,50,50
鄭餘慶著,2,88,44.0,50,50,50,50
李亨,2,136,68.0,50,50,50,50
楊萊兒著,2,100,50.0,50,50,50,50
李願著,2,70,35.0,50,50,50,50
崔邠,2,68,34.0,50,50,50,50
張正元著,2,144,72.0,50,50,50,50
彭伉著,2,176,88.0,50,50,50,50
崔璞著,2,108,54.0,50,50,50,50
李景讓著,2,75,37.5,50,50,50,50
劉郇伯著,2,85,42.5,50,50,50,50
崔樞著,2,144,72.0,50,50,50,50
譚銖著,2,216,108.0,50,50,50,50
常浩著,2,130,65.0,50,50,50,50
蕭仿著,2,80,40.0,50,50,50,50
張嗣初著,2,144,72.0,50,50,50,50
羅讓著,2,138,69.0,50,50,50,50
嚴巨川著,2,144,72.0,50,50,50,50
王甚夷著,2,136,68.0,50,50,50,50
蕭祜著,2,475,237.5,50,50,50,50
童翰卿著,2,94,47.0,50,50,50,50
李沛著,2,144,72.0,50,50,50,50
崔邠著,2,120,60.0,50,50,50,50
蘇郁著,2,68,34.0,50,50,50,50
李璟著,2,160,80.0,50,50,50,50
封敖著,2,135,67.5,50,50,50,50
張隨著,2,144,72.0,50,50,50,50
吳武陵著,2,108,54.0,50,50,50,50
李曄著,2,208,104.0,50,50,50,50
裴虔餘著,2,108,54.0,50,50,50,50
花蕊夫人著,2,5058,2529.0,50,50,50,50
馮袞著,2,68,34.0,50,50,50,50
於頔著,2,312,156.0,50,50,50,50
溫庭皓著,2,228,114.0,50,50,50,50
蘇鬱著,2,45,22.5,42,41,40,39
裴潾著,2,662,331.0,50,50,50,50
趙蕃著,2,135,67.5,50,50,50,50
孫頠著,2,144,72.0,50,50,50,50
張氏著,2,112,56.0,50,50,50,50
宋濟著,2,72,36.0,50,50,50,50
河北士人著,2,82,41.0,50,50,50,50
盧渥著,2,136,68.0,50,50,50,50
柴宿著,2,143,71.5,50,50,50,50
張希複著,2,57,28.5,48,50,50,50
宋雍著,2,64,32.0,50,50,50,50
王霞卿著,2,72,36.0,50,50,50,50
竇梁賓著,2,72,36.0,50,50,50,50
呂敞著,2,144,72.0,50,50,50,50
楊虞卿著,2,75,37.5,50,50,50,50
王衍著,2,59,29.5,47,50,50,50
黃崇嘏著,2,100,50.0,50,50,50,50
徐商著,2,79,39.5,50,50,50,50
郭良驥著,2,98,49.0,50,50,50,50
賀朝清著,2,92,46.0,50,50,50,50
洛中舉子著,2,96,48.0,50,50,50,50
劉虛白著,2,49,24.5,43,44,44,43
織錦人著,2,45,22.5,38,41,41,39
李璟,2,48,24.0,47,46,44,42
滕倪著,2,104,52.0,50,50,50,50
潘咸著,2,64,32.0,50,50,50,50
朱子真著,2,71,35.5,34,37,41,44
李播著,2,56,28.0,49,50,50,50
李肱著,2,83,41.5,50,50,50,50
高璩著,2,79,39.5,50,50,50,50
張光朝著,2,216,108.0,50,50,50,50
柳泌著,2,216,108.0,50,50,50,50
高湘著,2,96,48.0,50,50,50,50
穆寂著,2,144,72.0,50,50,50,50
張元宗著,2,60,30.0,50,50,50,50
張起著,2,70,35.0,50,50,50,50
權審著,2,55,27.5,43,49,50,49
侯冽著,2,144,72.0,50,50,50,50
朱沖和著,2,70,35.0,50,50,50,50
裴延著,2,47,23.5,45,45,43,41
唐扶著,2,322,161.0,50,50,50,50
天寶宮人著,2,56,28.0,45,50,50,50
王播著,2,136,68.0,50,50,50,50
陳翥著,2,140,70.0,50,50,50,50
楊于陵著,2,216,108.0,50,50,50,50
徐堅,2,150,75.0,50,50,50,50
盧溵著,2,80,40.0,50,50,50,50
胡證著,2,102,51.0,50,50,50,50
張瑛著,2,63,31.5,50,50,50,50
員南溟著,2,138,69.0,50,50,50,50
劉鄴著,2,98,49.0,50,50,50,50
歐陽澥著,2,63,31.5,50,50,50,50
李善夷著,2,129,64.5,50,50,50,50
許稷著,2,144,72.0,50,50,50,50
郭遵著,2,144,72.0,50,50,50,50
蒯希逸著,2,127,63.5,50,50,50,50
越溪楊女著,2,84,42.0,50,50,50,50
楊知至著,2,100,50.0,50,50,50,50
葛鴉兒著,2,102,51.0,50,50,50,50
鄭蕡著,2,144,72.0,50,50,50,50
李敬伯著,2,96,48.0,50,50,50,50
溫會著,2,96,48.0,50,50,50,50
楊漢公著,2,70,35.0,50,50,50,50
姚向著,2,96,48.0,50,50,50,50
何扶著,2,100,50.0,50,50,50,50
戈牢著,2,136,68.0,50,50,50,50
金厚載著,2,136,68.0,50,50,50,50
任生著,2,59,29.5,50,50,50,50
武少儀著,2,134,67.0,50,50,50,50
馮伉著,2,148,74.0,50,50,50,50
丁棱著,2,110,55.0,50,50,50,50
席夔著,2,138,69.0,50,50,50,50
李宣遠著,2,94,47.0,50,50,50,50
鄭熏著,2,241,120.5,50,50,50,50
韋鵬翼著,2,72,36.0,31,32,32,32
錢眾仲著,2,141,70.5,50,50,50,50
李景著,2,120,60.0,50,50,50,50
李乂,2,56,28.0,50,50,50,50
柳氏著,2,60,30.0,29,30,30,30
于興宗著,2,71,35.5,50,50,50,50
裴諴著,2,144,72.0,50,50,50,50
崔鉉著,2,100,50.0,50,50,50,50
陳昌言著,2,144,72.0,50,50,50,50
王季文著,2,232,116.0,50,50,50,50
石殷士著,2,141,70.5,50,50,50,50
王炎著,2,120,60.0,50,50,50,50
唐暄著,2,110,55.0,50,50,50,50
盧貞著,2,84,42.0,50,50,50,50
李節度姬著,2,108,54.0,50,50,50,50
周元範著,2,106,53.0,50,50,50,50
景審著,2,51,25.5,44,46,45,44
鮑家四弦著,2,60,30.0,50,50,50,50
崔公遠著,2,60,30.0,50,50,50,50
郭子儀,2,64,32.0,50,50,50,50
安鳳著,2,121,60.5,50,50,50,50
盧儲著,2,56,28.0,50,50,50,50
司馬都著,2,128,64.0,50,50,50,50
盧尚書著,2,98,49.0,50,50,50,50
李賢,2,70,35.0,50,50,50,50
周墀著,2,128,64.0,50,50,50,50
劉道昌著,2,72,36.0,50,50,50,50
郭子儀著,2,80,40.0,50,50,50,50
李公佐僕著,2,88,44.0,50,50,50,50
陸堅著,2,83,41.5,50,50,50,50
劉畋著,2,59,29.5,50,50,50,50
李涉,2,140,70.0,50,50,50,50
李適之著,2,45,22.5,37,42,41,39
薛逢,2,41,20.5,40,39,37,35
鄭繇著,2,70,35.0,50,50,50,50
宋鼎著,2,144,72.0,50,50,50,50
蘇晉著,2,166,83.0,50,50,50,50
元凜著,2,128,64.0,50,50,50,50
盧從願著,2,160,80.0,50,50,50,50
王光庭著,2,192,96.0,50,50,50,50
酒肆布衣著,2,92,46.0,50,50,50,50
劉洞著,2,99,49.5,50,50,50,50
王偃,2,56,28.0,50,50,50,50
蕭嵩著,2,168,84.0,50,50,50,50
許學士著,2,72,36.0,50,50,50,50
孫光憲,2,168,84.0,50,50,50,50
紫微孫處士著,2,72,36.0,50,50,50,50
解琬著,2,96,48.0,50,50,50,50
張錫著,2,96,48.0,50,50,50,50
方壺居士著,2,70,35.0,50,50,50,50
徐振著,2,92,46.0,50,50,50,50
皇甫松,2,112,56.0,50,50,50,50
李太玄著,2,70,35.0,50,50,50,50
嚴含質著,2,76,38.0,50,50,50,50
李濤著,2,35,17.5,35,33,31,29
謝偃,2,180,90.0,50,50,50,50
盧懷慎著,2,112,56.0,50,50,50,50
牛殳著,2,396,198.0,50,50,50,50
伊夢昌著,2,72,36.0,50,50,50,50
裴耀卿著,2,158,79.0,50,50,50,50
裴諧著,2,146,73.0,50,50,50,50
韓翃,2,68,34.0,50,50,50,50
陳沆著,2,73,36.5,50,50,50,50
李敬玄著,2,134,67.0,50,50,50,50
沈顏著,2,88,44.0,50,50,50,50
董思恭,2,70,35.0,50,50,50,50
鐘離權著,2,334,167.0,50,50,50,50
杜頠著,2,151,75.5,50,50,50,50
範朝著,2,96,48.0,50,50,50,50
歐陽詢著,2,72,36.0,50,50,50,50
何仲舉著,2,65,32.5,50,50,50,50
韓湘著,2,114,57.0,50,50,50,50
張巡著,2,116,58.0,50,50,50,50
王偃著,2,68,34.0,50,50,50,50
賀蘭進明著,2,408,204.0,50,50,50,50
韋丹著,2,68,34.0,50,50,50,50
蕭昕著,2,141,70.5,50,50,50,50
譚峭著,2,49,24.5,44,45,44,43
楊炎著,2,60,30.0,50,50,50,50
李休烈著,2,70,35.0,32,39,44,48
寇坦著,2,168,84.0,50,50,50,50
袁瓘著,2,301,150.5,50,50,50,50
劉晏著,2,76,38.0,50,50,50,50
許碏著,2,142,71.0,50,50,50,50
薛業著,2,94,47.0,50,50,50,50
張若虛著,2,348,174.0,50,50,50,50
邢巨著,2,68,34.0,50,50,50,50
樊晃著,2,51,25.5,46,46,45,44
談戭著,2,59,29.5,50,50,50,50
張翬著,2,70,35.0,50,50,50,50
吳象之著,2,80,40.0,50,50,50,50
蔡隱丘著,2,35,17.5,34,33,31,29
張宣明著,2,148,74.0,50,50,50,50
許晝著,2,177,88.5,50,50,50,50
楊廉著,2,96,48.0,50,50,50,50
洛川仙女著,2,82,41.0,50,50,50,50
賈馳著,2,84,42.0,50,50,50,50
高正臣著,2,96,48.0,50,50,50,50
劉商,2,308,154.0,50,50,50,50
富春沙際鬼著,2,43,21.5,41,41,39,37
熊皦著,2,70,35.0,50,50,50,50
盧群玉著,2,68,34.0,50,50,50,50
崔善為,2,80,40.0,50,50,50,50
高輦著,2,64,32.0,50,50,50,50
崔信明,2,55,27.5,50,50,50,49
趙光遠著,2,192,96.0,50,50,50,50
李士元著,2,108,54.0,50,50,50,50
高球著,2,104,52.0,50,50,50,50
弓嗣初著,2,96,48.0,50,50,50,50
布燮著,2,102,51.0,50,50,50,50
長孫正隱著,2,96,48.0,50,50,50,50
張太華著,2,72,36.0,50,50,50,50
楊徽之著,2,70,35.0,50,50,50,50
伍彬著,2,76,38.0,50,50,50,50
蘇瑰著,2,112,56.0,50,50,50,50
李懷遠著,2,158,79.0,50,50,50,50
魏元忠著,2,96,48.0,50,50,50,50
唐備著,2,71,35.5,50,50,50,50
馬周,2,50,25.0,48,48,46,44
張文恭,2,80,40.0,50,50,50,50
張鷟著,2,41,20.5,41,39,37,35
李濤1著,2,84,42.0,50,50,50,50
趙謙光著,2,48,24.0,28,31,32,33
謝邈著,2,128,64.0,50,50,50,50
杜易簡著,2,124,62.0,50,50,50,50
戴衢著,2,47,23.5,39,42,41,40
許鼎著,2,59,29.5,46,50,50,50
龐德公著,2,72,36.0,50,50,50,50
楊思玄著,2,148,74.0,50,50,50,50
楊達著,2,80,40.0,50,50,50,50
鄭渥著,2,122,61.0,50,50,50,50
周彥暉著,2,96,48.0,50,50,50,50
李叔卿著,2,155,77.5,50,50,50,50
李景伯著,2,57,28.5,26,29,32,33
織女著,2,94,47.0,50,50,50,50
嵩山女著,2,72,36.0,50,50,50,50
無名鬼著,2,69,34.5,50,50,50,50
東方虯著,2,94,47.0,50,50,50,50
嚴郾著,2,126,63.0,50,50,50,50
鄭縉著,2,107,53.5,50,50,50,50
王仙仙著,2,70,35.0,50,50,50,50
張友正著,2,144,72.0,50,50,50,50
故台城妓著,2,76,38.0,50,50,50,50
顏蕘著,2,51,25.5,45,46,45,44
李賓著,2,192,96.0,50,50,50,50
王珪,2,190,95.0,50,50,50,50
劉贊著,2,69,34.5,50,50,50,50
長孫無忌,2,60,30.0,50,50,50,50
高嶠著,2,96,48.0,50,50,50,50
齊浣著,2,80,40.0,50,50,50,50
杜正倫,2,140,70.0,50,50,50,50
王無競,2,54,27.0,45,50,50,48
崔日知著,2,384,192.0,50,50,50,50
賈至,2,63,31.5,50,50,50,50
王正己著,2,49,24.5,42,45,44,43
滕白著,2,66,33.0,50,50,50,50
王適,2,94,47.0,50,50,50,50
高力士著,2,35,17.5,35,33,31,29
蔡孚著,2,199,99.5,50,50,50,50
韋檢著,2,70,35.0,50,50,50,50
袁暉,2,80,40.0,50,50,50,50
周思鈞著,2,96,48.0,50,50,50,50
虎丘石壁鬼著,2,162,81.0,50,50,50,50
李希仲著,2,144,72.0,50,50,50,50
殷七七著,2,45,22.5,43,42,41,39
韋莊,2,68,34.0,50,50,50,50
張建封著,2,393,196.5,50,50,50,50
韓昭著,2,112,56.0,50,50,50,50
姚倫著,2,92,46.0,50,50,50,50
張令問著,2,72,36.0,33,36,38,39
張叔卿著,2,69,34.5,50,50,50,50
李搏著,2,100,50.0,50,50,50,50
鄭丹著,2,96,48.0,50,50,50,50
崔膺著,2,100,50.0,50,50,50,50
鄭啟著,2,190,95.0,50,50,50,50
馮宿著,2,136,68.0,50,50,50,50
王武陵著,2,136,68.0,50,50,50,50
蔡昆著,2,47,23.5,39,41,41,40
劉氏雲,2,54,27.0,42,48,48,47
懷楚著,2,112,56.0,50,50,50,50
徐光溥著,2,479,239.5,50,50,50,50
朱光弼著,2,45,22.5,39,41,40,39
岑參,2,208,104.0,50,50,50,50
僧鸞著,2,625,312.5,50,50,50,50
裴略著,2,62,31.0,50,50,50,50
亞棲著,2,72,36.0,50,50,50,50
懷浦著,2,96,48.0,50,50,50,50
唐怡著,2,45,22.5,44,43,41,39
韋建著,2,168,84.0,50,50,50,50
殷寅著,2,230,115.0,50,50,50,50
無悶著,2,72,36.0,50,50,50,50
竇威,2,80,40.0,40,41,41,41
無則著,2,104,52.0,50,50,50,50
李岑2著,2,144,72.0,50,50,50,50
棲一著,2,128,64.0,50,50,50,50
王翰,2,71,35.5,50,50,50,50
丘光庭著,2,259,129.5,50,50,50,50
韋迢著,2,96,48.0,50,50,50,50
張濯著,2,158,79.0,50,50,50,50
神穎著,2,156,78.0,50,50,50,50
劉言史,2,84,42.0,50,50,50,50
王睿,2,56,28.0,50,50,50,50
李茂複著,2,65,32.5,50,50,50,50
鄭概著,2,65,32.5,50,50,50,50
範燈著,2,65,32.5,50,50,50,50
樊珣著,2,65,32.5,50,50,50,50
劉蕃著,2,65,32.5,50,50,50,50
張松齡著,2,60,30.0,32,34,34,34
張安石著,2,66,33.0,50,50,50,50
劉長川著,2,70,35.0,50,50,50,50
李暇,2,80,40.0,50,50,50,50
趙摶著,2,371,185.5,50,50,50,50
鄭審著,2,144,72.0,50,50,50,50
許敬宗著,2,171,85.5,50,50,50,50
李幼卿著,2,216,108.0,50,50,50,50
慧偘著,2,72,36.0,50,50,50,50
法宣著,2,96,48.0,50,50,50,50
柳郴著,2,60,30.0,50,50,50,50
懷素著,2,72,36.0,50,50,50,50
張佐著,2,130,65.0,50,50,50,50
張禕著,2,72,36.0,50,50,50,50
閻濟美著,2,96,48.0,50,50,50,50
張少博著,2,144,72.0,50,50,50,50
張保胤著,2,100,50.0,50,50,50,50
應物著,2,124,62.0,50,50,50,50
元孚著,2,72,36.0,50,50,50,50
周渭著,2,136,68.0,50,50,50,50
周存著,2,144,72.0,50,50,50,50
衛象著,2,78,39.0,50,50,50,50
黎逢著,2,144,72.0,50,50,50,50
羅虯著,2,3615,1807.5,50,50,50,50
釋泚著,2,96,48.0,50,50,50,50
苗發著,2,112,56.0,50,50,50,50
大易著,2,111,55.5,50,50,50,50
幸夤遜著,2,163,81.5,50,50,50,50
蘇渙著,2,406,203.0,50,50,50,50
唐晅著,2,105,52.5,50,50,50,50
尚能著,2,59,29.5,50,50,50,50
芮挺章著,2,92,46.0,50,50,50,50
舒道紀著,2,96,48.0,50,50,50,50
程紫霄著,2,60,30.0,44,48,50,50
薛昭緯著,2,89,44.5,50,50,50,50
陸翱著,2,96,48.0,50,50,50,50
蕭彧著,2,96,48.0,50,50,50,50
薛令之著,2,78,39.0,50,50,50,50
徐浩著,2,388,194.0,50,50,50,50
李棲筠著,2,164,82.0,50,50,50,50
徐靈府著,2,120,60.0,50,50,50,50
裴廷裕著,2,124,62.0,50,50,50,50
長孫佐輔,2,200,100.0,50,50,50,50
豆盧複著,2,84,42.0,50,50,50,50
閻德隱著,2,244,122.0,50,50,50,50
陳寡言著,2,90,45.0,50,50,50,50
顏仁郁著,2,64,32.0,50,50,50,50
陳季著,2,141,70.5,50,50,50,50
常理著,2,156,78.0,50,50,50,50
石召著,2,72,36.0,50,50,50,50
王邕著,2,144,72.0,50,50,50,50
楊巨源,2,120,60.0,50,50,50,50
杜牧,2,128,64.0,50,50,50,50
張道古著,2,84,42.0,50,50,50,50
王延彬著,2,98,49.0,50,50,50,50
陸扆著,2,80,40.0,50,50,50,50
郭良著,2,92,46.0,50,50,50,50
楊諫著,2,94,47.0,50,50,50,50
李宏皋著,2,152,76.0,50,50,50,50
令狐峘著,2,168,84.0,50,50,50,50
陳羽,2,88,44.0,50,50,50,50
郭澹著,2,110,55.0,50,50,50,50
王緯著,2,110,55.0,50,50,50,50
崔何著,2,110,55.0,50,50,50,50
趙良器著,2,120,60.0,50,50,50,50
李收著,2,70,35.0,50,50,50,50
袁傪著,2,110,55.0,50,50,50,50
蘇源明著,2,174,87.0,50,50,50,50
屈同仙著,2,201,100.5,50,50,50,50
沈彬,2,56,28.0,50,50,50,50
杜審言,2,68,34.0,50,50,50,50
崔湜,2,80,40.0,50,50,50,50
陳中師著,1,72,72.0,50,50,50,50
劉望著,1,62,62.0,50,50,50,50
辛宏著,1,72,72.0,50,50,50,50
趙防著,1,48,48.0,44,44,44,44
殷琮著,1,69,69.0,50,50,50,50
康翊仁著,1,72,72.0,50,50,50,50
